Timestamp,Source_Sat,Destination_Network,Next_Hop_IP
103000,STARLINK-1152,192.168.26.84/30,192.168.19.69
103000,STARLINK-1152,192.168.26.88/30,192.168.19.69
103000,STARLINK-1152,192.168.26.144/30,192.168.19.69
103000,STARLINK-1152,192.168.11.120/30,192.168.19.69
103000,STARLINK-1152,192.168.11.112/30,192.168.19.69
103000,STARLINK-1152,192.168.11.116/30,192.168.19.69
103000,STARLINK-1152,192.168.28.172/30,192.168.19.69
103000,STARLINK-1152,192.168.1.8/30,192.168.19.69
103000,STARLINK-1152,192.168.1.12/30,192.168.19.69
103000,STARLINK-1152,192.168.27.188/30,192.168.19.69
103000,STARLINK-1152,192.168.28.12/30,192.168.19.69
103000,STARLINK-1152,192.168.10.220/30,192.168.19.69
103000,STARLINK-1152,192.168.30.52/30,192.168.4.42
103000,STARLINK-2160,192.168.26.84/30,192.168.26.89
103000,STARLINK-2160,192.168.30.52/30,192.168.26.146
103000,STARLINK-2160,192.168.4.40/30,192.168.26.146
103000,STARLINK-2160,192.168.19.68/30,192.168.26.146
103000,STARLINK-2160,192.168.10.220/30,192.168.26.146
103000,STARLINK-2160,192.168.28.12/30,192.168.26.146
103000,STARLINK-2160,192.168.27.188/30,192.168.26.146
103000,STARLINK-2160,192.168.1.12/30,192.168.26.146
103000,STARLINK-2160,192.168.1.8/30,192.168.26.146
103000,STARLINK-2160,192.168.28.172/30,192.168.26.146
103000,STARLINK-2160,192.168.11.116/30,192.168.26.146
103000,STARLINK-2160,192.168.11.112/30,192.168.26.146
103000,STARLINK-2160,192.168.11.120/30,192.168.26.146
103000,STARLINK-2394,192.168.26.84/30,192.168.27.189
103000,STARLINK-2394,192.168.26.88/30,192.168.27.189
103000,STARLINK-2394,192.168.26.144/30,192.168.27.189
103000,STARLINK-2394,192.168.11.120/30,192.168.27.189
103000,STARLINK-2394,192.168.11.112/30,192.168.27.189
103000,STARLINK-2394,192.168.11.116/30,192.168.27.189
103000,STARLINK-2394,192.168.28.172/30,192.168.27.189
103000,STARLINK-2394,192.168.1.8/30,192.168.27.189
103000,STARLINK-2394,192.168.1.12/30,192.168.27.189
103000,STARLINK-2394,192.168.30.52/30,192.168.28.14
103000,STARLINK-2394,192.168.4.40/30,192.168.28.14
103000,STARLINK-2394,192.168.19.68/30,192.168.28.14
103000,STARLINK-2394,192.168.10.220/30,192.168.28.14
103000,STARLINK-1484,192.168.26.84/30,192.168.26.145
103000,STARLINK-1484,192.168.26.88/30,192.168.26.145
103000,STARLINK-1484,192.168.30.52/30,192.168.11.122
103000,STARLINK-1484,192.168.4.40/30,192.168.11.122
103000,STARLINK-1484,192.168.19.68/30,192.168.11.122
103000,STARLINK-1484,192.168.10.220/30,192.168.11.122
103000,STARLINK-1484,192.168.28.12/30,192.168.11.122
103000,STARLINK-1484,192.168.27.188/30,192.168.11.122
103000,STARLINK-1484,192.168.1.12/30,192.168.11.122
